Manufacturer,Family,Model,Frequency,XDATA/ext.Sensor capable,internal windfinding,autosonde capable,wmo type identifier,wmo type identifier (family)
Vaisala,RS90 Family,RS90,403,?,0,1,"71,72,74,78",
Vaisala,RS92 Family,RS92-AGP,403,?,1,0,,"79,80,113,114,183"
Vaisala,RS92 Family,RS92-NGP,403,?,1,0,152,
Vaisala,RS92 Family,RS92-SGPA,403,?,1,1,81,
Vaisala,RS92 Family,RS92-SGPD,403,1,1,0,,
Vaisala,RS92 Family,RS92-SGPL,403,?,1,0,,
Vaisala,RS92 Family,RS92-SGPW,403,?,1,0,,
Vaisala,RS92 Family,RS92-D,1.680,?,0,0,,
Vaisala,RS92 Family,RS92-K,403,?,0,0,,
Vaisala,RS92 Family,RS92-KL,403,?,1,0,,
Vaisala,RS92 Family,RS92-AM,403,?,1,0,,
Vaisala,RS41 Family,RS41-SG,403,1,1,1,"141,142(autosonde)",125
Vaisala,RS41 Family,RS41-SGP,403,1,1,1,"123,124(autosonde)",
Vaisala,RS41 Family,RS41-SGM,403,?,1,0,,
Vaisala,RS41 Family,RS41-D,1.680,?,0,0,,
Vaisala,Dropsondes,RD93,403,0,1,0,,
Vaisala,Dropsondes,RD94,403,0,1,0,193,
Vaisala,Dropsondes,RD41,403,0,1,0,192,
Vaisala,Dropsondes,NRD41,403,0,1,0,191,
Vaisala,Dropsondes,NRD94,403,0,1,0,190,
Graw,DFM-09 Family,DFM-09(TU),403,0,1,0,,154
Graw,DFM-09 Family,DFM-09(PTU),403,0,1,0,,
Graw,DFM-09 Family,DFM-09(XDATA),403,1,1,0,,
Graw,DFM-17 Family,DFM-17(TU),403,0,1,1,,117
Graw,DFM-17 Family,DFM-17(PTU),403,0,1,1,,
Graw,DFM-17 Family,DFM-17(XDATA),403,1,1,0,,
Graw,PS-15 Family,PS-15,403,0,1,0,,
Graw,PS-15 Family,PS-15(XDATA),403,1,1,0,,
Graw,various,DFM-06,403,0,1,0,18,
Graw,various,KITsonde,403,0,1,0,,
Meteomodem,M20 Family,M20(TU),403,1,1,1,,163
Meteomodem,M20 Family,M20(PTU),403,1,1,1,,
Meteomodem,various,M10,403,1,1,1,177,
Meteomodem,various,Pilotsonde,403,?,1,0,164,
Meteomodem,various,Dropsonde,403,0,1,0,,
Meisei,various,iMS-100,403,0,1,?,135,
Meisei,various,iMDS-17,403,0,1,0,136,
Meisei,various,RS-11G,403,1,1,?,122,
Meisei,various,RS-06G,403,1,1,?,130,
Meteolabor,various,SRS-C50,403,0,1,0,150,
Meteolabor,various,SRS-C34,403,1,1,0,126,
interMet,iMet-1 Family,iMet-1(PTU),?,0,1,0,,"01,07"
interMet,iMet-1 Family,iMet-1(XDATA),?,1,1,0,,
interMet,iMet-2 Family,iMet-2(TU),?,0,1,0,,"97,98,99"
interMet,iMet-2 Family,iMet-2(PTU),?,0,1,0,,
interMet,iMet-4 Family,iMet-4(PTU),?,0,1,0,,
interMet,iMet-4 Family,iMet-4(XDATA),?,1,1,0,,
interMet,iMet-5 Family,iMet-54(TU),?,0,1,0,,
interMet,iMet-5 Family,iMet-54(PTU),?,0,1,0,,
interMet,iMet-5 Family,iMet-54(XDATA),?,1,1,0,,
interMet,iMet-5 Family,iMet-50,?,0,1,0,,
interMet,iMet-5 Family,iMet-P,?,0,1,0,,
Lockheed Martin,various,LMS6,?,?,1,0,,"111,182"
Sparv Embedded,S1 Windsond Family,S1B,403,0,1,0,,
Sparv Embedded,S1 Windsond Family,S1H2,403,0,1,0,,
Sparv Embedded,S1 Windsond Family,S1H3,403,0,1,0,,
JinYang,various,1524LA,1.680,0,0,0,121,
JinYang,various,RSG-20A,403,0,1,0,122,
Paza,various,PAZA-12M,1.680,0,0,0,115,
Paza,various,PAZA-22,1.680,0,0,0,,"116,148"
var. Chinese,GTS1 Family,Shanghai GTS1,1.680,0,0,0,132,
var. Chinese,GTS1 Family,Taiyuan GTS1-1,1.680,0,0,0,131,
var. Chinese,GTS1 Family,Nanjing GTS1-2,1.680,0,0,0,133,
var. Chinese,various,TianJin HuaYunTianYi GTS(U)1,403,?,?,?,144,
var. Chinese,various,Beijing Changfeng CF-06,403,?,?,?,145,
var. Chinese,various,Shanghai Changwang GTS3,?,?,?,?,146,
var. Chinese,various,NanJing Daqiao XGP-3G,?,?,?,?,143,
var. Russian,various,MRZ,1.680,0,0,0,"27,75,88",
var. Russian,various,MRZ-N1,1.680,0,0,0,119,
var. Russian,various,MRZ-3MK,?,0,0,0,162,
var. Russian,various,BAR,1.680,0,0,0,"58,89",
var. Russian,various,RZM-2,1.680,0,0,0,"68,69",
var. Russian,various,RF95,1.680,0,0,0,76,
var. Russian,various,AK2-02,1.680,0,0,0,"128,129",
var. Russian,various,I-2012,1.680,0,0,0,"153,16",
var. Russian,various,ASPAN-15,1.680,0,0,0,173,